id,date_ms,sym,side,size,akk
343,1787630817558,NESAUSDT,Buy,39.8825,0
344,1787630817743,NESAUSDT,Sell,39.8825,1
345,1787630817929,NESAUSDT,Buy,39.8825,2
346,1787630818114,NESAUSDT,Sell,39.8825,3
347,1787630818464,NESAUSDT,Sell,79.8975,4
348,1787631408519,AGIUSDT,Sell,39.9669,0
349,1787631408701,AGIUSDT,Sell,39.9669,2
350,1787631409049,AGIUSDT,Buy,79.98625,4
351,1787631414109,HUSDT,Buy,39.3768,0
352,1787631414295,HUSDT,Sell,39.3768,1
353,1787631414479,HUSDT,Buy,39.3768,2
354,1787631414663,HUSDT,Sell,39.3768,3
355,1787631415014,HUSDT,Sell,79.4828,4
356,1787632007422,AGIUSDT,Buy,39.98655,1
357,1787632007608,AGIUSDT,Sell,39.98655,2
358,1787632007794,AGIUSDT,Buy,39.98655,3
359,1787632008813,APPSTOCKUSDT,Sell,39.0988,3
360,1787632013274,GRVTUSDT,Sell,39.86222,0
361,1787632013468,GRVTUSDT,Sell,39.86222,2
362,1787632015314,MOVEUSDT,Sell,39.9924,3
363,1787632606920,AGIUSDT,Sell,39.9636,2
364,1787633207552,ACXUSDT,Buy,39.98721,1
365,1787633207745,ACXUSDT,Sell,39.98721,2
366,1787633207939,ACXUSDT,Buy,39.98721,3
367,1787633208303,ACXUSDT,Buy,79.97442,4
368,1787633209165,AGIUSDT,Sell,39.97452,2
369,1787634408380,AGIUSDT,Sell,39.95082,0
370,1787634408567,AGIUSDT,Buy,39.95082,1
371,1787634408755,AGIUSDT,Sell,39.95082,2
372,1787634408941,AGIUSDT,Buy,39.95082,3
373,1787634409295,AGIUSDT,Buy,79.95855,4
374,1787634410148,APPSTOCKUSDT,Sell,39.0247,3
375,1787634410514,APPSTOCKUSDT,Sell,78.0494,4
376,1787634411369,BNCUSDT,Sell,39.9488,3
377,1787634411743,BNCUSDT,Sell,79.8976,4
378,1787634412592,GEVUSDT,Sell,39.83112,3
379,1787634412945,GEVUSDT,Sell,79.66224,4
380,1787634413796,MAUSDT,Buy,35.7978,3
381,1787634414153,MAUSDT,Buy,77.5619,4
382,1787635008003,ACXUSDT,Buy,39.9903,3
383,1787635008366,ACXUSDT,Buy,79.9806,4
384,1787635009217,AGIUSDT,Sell,39.984,0
385,1787635009400,AGIUSDT,Buy,39.984,1
386,1787635009585,AGIUSDT,Sell,39.984,2
387,1787635009771,AGIUSDT,Buy,39.984,3
388,1787635010126,AGIUSDT,Buy,79.968,4
389,1787635609382,AGIUSDT,Buy,39.95124,1
390,1787635609576,AGIUSDT,Sell,39.95124,2
391,1787635609798,AGIUSDT,Buy,39.95124,3
392,1787635610157,AGIUSDT,Buy,79.9582,4
393,1787636208417,ACXUSDT,Buy,39.98004,1
394,1787636208604,ACXUSDT,Sell,39.98004,2
395,1787636208805,ACXUSDT,Buy,39.98004,3
396,1787636209155,ACXUSDT,Buy,79.96008,4
397,1787636210028,AGIUSDT,Buy,39.96945,1
398,1787636210238,AGIUSDT,Sell,39.96945,2
399,1787636210628,AGIUSDT,Buy,79.99641,4
400,1787636812311,AGIUSDT,Sell,39.9828,2
401,1787637407761,AGIUSDT,Sell,39.98844,2
402,1787638008328,AGIUSDT,Sell,39.98665,0
403,1787638008512,AGIUSDT,Buy,39.98665,1
404,1787638008696,AGIUSDT,Sell,39.98665,2
405,1787638008882,AGIUSDT,Buy,39.98665,3
406,1787638009235,AGIUSDT,Buy,79.9733,4
407,1787638010097,APPSTOCKUSDT,Sell,39.0819,1
408,1787638011140,BNCUSDT,Sell,39.9616,1
409,1787638012153,MAUSDT,Buy,35.8242,1
410,1787638607230,AGIUSDT,Sell,39.97013,0
411,1787638607415,AGIUSDT,Buy,39.97013,1
412,1787638607604,AGIUSDT,Sell,39.97013,2
413,1787638607804,AGIUSDT,Buy,39.97013,3
414,1787638608157,AGIUSDT,Buy,79.94026,4
415,1787639208338,AGIUSDT,Sell,39.97202,2
416,1787639208526,AGIUSDT,Buy,39.97202,3
417,1787639208881,AGIUSDT,Buy,79.94404,4
418,1787639209922,APPSTOCKUSDT,Sell,78.1716,4
419,1787639210988,BNCUSDT,Sell,79.9232,4
420,1787639212026,MAUSDT,Buy,77.6191,4
421,1787639808221,AGIUSDT,Buy,39.9625,1
422,1787639808407,AGIUSDT,Sell,39.9625,2
423,1787640407892,AGIUSDT,Buy,39.99999,1
424,1787640408074,AGIUSDT,Sell,39.99999,2
425,1787640408258,AGIUSDT,Buy,39.99999,3
426,1787640408610,AGIUSDT,Buy,79.99998,4
427,1787641009532,AGIUSDT,Sell,39.9456,0
428,1787641009717,AGIUSDT,Buy,39.9456,1
429,1787641009905,AGIUSDT,Sell,39.9456,2
430,1787641010095,AGIUSDT,Buy,39.9456,3
431,1787641010444,AGIUSDT,Buy,79.952,4
432,1787641011604,APPSTOCKUSDT,Sell,39.1287,1
433,1787641011952,APPSTOCKUSDT,Sell,78.2574,4
434,1787641012808,BNCUSDT,Sell,39.7696,1
435,1787641013478,BNCUSDT,Sell,79.8499,4
436,1787641014331,MAUSDT,Buy,35.8188,1
437,1787641014685,MAUSDT,Buy,77.6074,4
438,1787641608485,AGIUSDT,Sell,39.95901,2
439,1787641608689,AGIUSDT,Buy,39.95901,3
440,1787641612704,COTIUSDT,Buy,39.987792,1
441,1787641612902,COTIUSDT,Sell,39.987792,2
442,1787641613100,COTIUSDT,Buy,39.987792,3
443,1787641613465,COTIUSDT,Buy,79.988088,4
444,1787641614332,CXMTUSDT,Sell,39.4283,0
445,1787641614520,CXMTUSDT,Buy,39.4283,1
446,1787641614718,CXMTUSDT,Sell,39.4283,2
447,1787641614905,CXMTUSDT,Buy,39.4283,3
448,1787641615257,CXMTUSDT,Buy,79.6955,4
449,1787642209288,AGIUSDT,Buy,39.9432,1
450,1787642209473,AGIUSDT,Sell,39.9432,2
451,1787642209669,AGIUSDT,Buy,39.9432,3
452,1787642210046,AGIUSDT,Buy,79.94692,4
453,1787642808337,AGIUSDT,Sell,39.97332,2
454,1787643408587,AGIUSDT,Sell,39.99996,2
455,1787643408770,AGIUSDT,Buy,39.99996,3
456,1787644007997,AGIUSDT,Sell,39.96542,2
457,1787644610857,AGIUSDT,Buy,39.962,1
458,1787644611066,AGIUSDT,Sell,39.962,2
459,1787644611265,AGIUSDT,Buy,39.962,3
460,1787644611622,AGIUSDT,Buy,79.982,4
461,1787645210284,1000BTTUSDT,Buy,39.98605,1
462,1787645210472,1000BTTUSDT,Sell,39.98605,2
463,1787645210975,1000BTTUSDT,Buy,39.98605,3
464,1787645211350,1000BTTUSDT,Buy,79.9721,4
465,1787645212215,AGIUSDT,Sell,39.96945,2
466,1787645214221,ARIAUSDT,Buy,39.98931,0
467,1787645214409,ARIAUSDT,Sell,39.98931,1
468,1787645214598,ARIAUSDT,Buy,39.98931,2
469,1787645214787,ARIAUSDT,Sell,39.98931,3
470,1787645215149,ARIAUSDT,Sell,79.97862,4
471,1787645216030,ARKUSDT,Buy,39.98115,0
472,1787645216234,ARKUSDT,Sell,39.98115,1
473,1787645216419,ARKUSDT,Buy,39.98115,2
474,1787645216604,ARKUSDT,Sell,39.98115,3
475,1787645216961,ARKUSDT,Sell,79.9623,4
476,1787645217822,BBXUSDT,Buy,39.3924,0
477,1787645218013,BBXUSDT,Sell,39.3924,1
478,1787645218202,BBXUSDT,Buy,39.3924,2
479,1787645218386,BBXUSDT,Sell,39.3924,3
480,1787645218752,BBXUSDT,Sell,79.5572,4
481,1787645219611,BOTUSDT,Buy,39.932,0
482,1787645219798,BOTUSDT,Sell,39.932,1
483,1787645219995,BOTUSDT,Buy,39.932,2
484,1787645220178,BOTUSDT,Sell,39.932,3
485,1787645220609,BOTUSDT,Sell,79.864,4
486,1787645221479,FIGHTUSDT,Buy,39.9906,0
487,1787645221674,FIGHTUSDT,Sell,39.9906,1
488,1787645221857,FIGHTUSDT,Buy,39.9906,2
489,1787645222038,FIGHTUSDT,Sell,39.9906,3
490,1787645222393,FIGHTUSDT,Sell,79.9812,4
491,1787645223262,FLYUSDT,Sell,39.916,0
492,1787645223447,FLYUSDT,Buy,39.916,1
493,1787645223642,FLYUSDT,Sell,39.916,2
494,1787645223827,FLYUSDT,Buy,39.916,3
495,1787645224181,FLYUSDT,Buy,79.832,4
496,1787645225049,GEVUSDT,Sell,39.14721,1
497,1787645225466,GEVUSDT,Sell,39.14721,3
498,1787645225817,GEVUSDT,Sell,79.24923,4
499,1787645226670,GRVTUSDT,Buy,39.96135,1
500,1787645226860,GRVTUSDT,Buy,39.96135,3
501,1787645227211,GRVTUSDT,Buy,79.9227,4
502,1787645228075,HPEUSDT,Sell,39.645,0
503,1787645228261,HPEUSDT,Buy,39.645,1
504,1787645228459,HPEUSDT,Sell,39.645,2
505,1787645228646,HPEUSDT,Buy,39.645,3
506,1787645229022,HPEUSDT,Buy,79.8186,4
507,1787645229879,MINIMAXUSDT,Buy,39.9984,0
508,1787645230075,MINIMAXUSDT,Sell,39.9984,1
