id,date_ms,sym,side,pnl,akk
280,1787640636791,MAUSDT,Buy,-0.0117,4
281,1787640637068,BNCUSDT,Sell,0.3072,4
282,1787640637346,APPSTOCKUSDT,Sell,-0.0572,4
283,1787640731772,AGIUSDT,Sell,-1.22764,0
284,1787641196136,AGIUSDT,Buy,-0.43362,3
285,1787641284212,AGIUSDT,Sell,-0.3942,2
286,1787641621882,GEVUSDT,Sell,-0.43134,3
287,1787641744250,AGIUSDT,Sell,-0.38454,2
288,1787641825015,AGIUSDT,Buy,-0.63648,3
289,1787641856687,AGIUSDT,Buy,-2.56425,4
290,1787641872658,AGIUSDT,Buy,-1.2483,1
291,1787642593399,AGIUSDT,Sell,-0.5544,2
292,1787642865311,AGIUSDT,Buy,-0.4686,3
293,1787643084195,AGIUSDT,Sell,-0.5328,2
294,1787643112020,ESPUSDT,Sell,-1.1025,0
295,1787643543578,AGIUSDT,Sell,-0.47952,2
296,1787644012771,CROSSUSDT,Sell,-1.0943,0
297,1787644134521,COTIUSDT,Buy,-0.43173,3
298,1787644294497,AGIUSDT,Buy,-0.49284,3
299,1787644356421,AGIUSDT,Buy,-3.55349,4
300,1787644372379,AGIUSDT,Buy,-1.7754,1
301,1787644643588,AGIUSDT,Sell,-0.35139,2
302,1787645240318,BNCUSDT,Sell,-0.5504,3
303,1787645264940,AGIUSDT,Buy,-0.51675,3
304,1787645374209,AGIUSDT,Sell,-0.54905,2
305,1787645943721,AGIUSDT,Sell,-0.39648,2
306,1787645965111,MOVEUSDT,Sell,-0.45738,3
307,1787645983628,FLYUSDT,Sell,-0.425,2
308,1787646462185,AGIUSDT,Sell,-0.4062,2
309,1787646685036,AGIUSDT,Buy,-0.43008,3
310,1787646881505,HANAUSDT,Buy,3.87515,0
311,1787647053645,AGIUSDT,Sell,-0.37856,2
312,1787647261554,NESAUSDT,Buy,4.0033,0
313,1787647267586,DDOGUSDT,Sell,-0.3791,2
314,1787647694146,AGIUSDT,Sell,-0.378,2
315,1787647773589,BXUSDT,Buy,-0.3672,2
316,1787648086203,CXMTUSDT,Buy,-0.4042,3
317,1787648220446,ARIAUSDT,Buy,-0.38892,2
318,1787648244871,AGIUSDT,Sell,-0.39884,2
319,1787648293490,FLYUSDT,Sell,-0.3887,2
320,1787648345370,FIGHTUSDT,Sell,-0.4446,3
321,1787648414414,HPEUSDT,Sell,-0.345,2
322,1787648455013,BOTUSDT,Sell,-0.6705,3
323,1787648534402,BBXUSDT,Sell,-0.408,3
324,1787648864744,BNCUSDT,Buy,-0.6731,3
325,1787648914201,BNCUSDT,Buy,-0.3456,2
326,1787648935055,NESAUSDT,Sell,-0.5148,3
327,1787649194004,AGIUSDT,Sell,-0.4662,2
