id,date_ms,sym,fund,next
409,1787614538051,AGIUSDT,-0.1125,1787616000000
410,1787614552154,BICOUSDT,-0.2436,1787616000000
411,1787614556745,BSPUSDT,0.1839,1787616000000
412,1787614557740,BXUSDT,0.102,1787616000000
413,1787614558736,CASHCATUSDT,0.1991,1787616000000
414,1787614576482,FORMUSDT,0.1022,1787616000000
415,1787614583225,HOMEUSDT,-0.2619,1787616000000
416,1787614595549,LYTEUSDT,-0.1613,1787616000000
417,1787614596871,MAUSDT,-0.1909,1787616000000
418,1787615131662,1000BTTUSDT,-0.2511,1787616000000
419,1787615134647,ACEUSDT,-0.2419,1787616000000
420,1787615136635,AGIUSDT,-0.1213,1787616000000
421,1787615151062,BICOUSDT,-0.2445,1787616000000
422,1787615155340,BSPUSDT,0.1866,1787616000000
423,1787615156335,BXUSDT,0.1032,1787616000000
424,1787615157331,CASHCATUSDT,0.1996,1787616000000
425,1787615181811,HOMEUSDT,-0.2811,1787616000000
426,1787615194159,LYTEUSDT,-0.1534,1787616000000
427,1787615195485,MAUSDT,-0.19,1787616000000
428,1787615732090,1000BTTUSDT,-0.2402,1787616000000
429,1787615735105,ACEUSDT,-0.2341,1787616000000
430,1787615737098,AGIUSDT,-0.1444,1787616000000
431,1787615742534,APPSTOCKUSDT,0.1058,1787616000000
432,1787615751583,BICOUSDT,-0.2496,1787616000000
433,1787615754062,BNCUSDT,-0.1004,1787616000000
434,1787615755879,BSPUSDT,0.1831,1787616000000
435,1787615756873,BXUSDT,0.1006,1787616000000
436,1787615757868,CASHCATUSDT,0.2207,1787616000000
437,1787615782394,HOMEUSDT,-0.293,1787616000000
438,1787615794771,LYTEUSDT,-0.1484,1787616000000
439,1787615796098,MAUSDT,-0.189,1787616000000
440,1787616335560,ACEUSDT,-0.7187,1787630400000
441,1787616336561,ADBEUSDT,0.2082,1787644800000
442,1787616336734,ADIUSDT,-0.3969,1787644800000
443,1787616337570,AGIUSDT,-0.901,1787644800000
444,1787616339536,ALABUSDT,-0.1573,1787644800000
445,1787616341019,AMATUSDT,-0.1027,1787644800000
446,1787616343013,APPSTOCKUSDT,0.2137,1787644800000
447,1787616352081,BICOUSDT,-0.4329,1787644800000
448,1787616354864,BNCUSDT,-0.3927,1787644800000
449,1787616356993,BSPUSDT,0.1546,1787644800000
450,1787616358970,CASHCATUSDT,0.7764,1787630400000
451,1787616365565,CSOPSKHYNIX2LUSDT,-0.3637,1787644800000
452,1787616367552,DDOGUSDT,-0.3398,1787644800000
453,1787616380872,GRVTUSDT,-0.1525,1787630400000
454,1787616381705,HANAUSDT,0.2039,1787630400000
455,1787616383523,HOMEUSDT,-0.5285,1787630400000
456,1787616384680,HYUNDAIUSDT,-0.1939,1787644800000
457,1787616389449,JSTUSDT,-0.111,1787644800000
458,1787616396855,MARAUSDT,0.128,1787644800000
459,1787616401302,MOVEUSDT,-0.4987,1787630400000
460,1787616935904,ACEUSDT,-0.7339,1787630400000
461,1787616936885,ACXUSDT,-0.1548,1787630400000
462,1787616938527,AGIUSDT,-1.0618,1787644800000
463,1787616942984,APPSTOCKUSDT,0.2327,1787644800000
464,1787616952090,BICOUSDT,-0.401,1787644800000
465,1787616954567,BNCUSDT,-0.258,1787644800000
466,1787616956384,BSPUSDT,0.3516,1787644800000
467,1787616958372,CASHCATUSDT,0.6151,1787630400000
468,1787616963812,CROSSUSDT,-0.1414,1787630400000
469,1787616964970,CSOPSKHYNIX2LUSDT,-0.5396,1787644800000
470,1787616965967,CXMTUSDT,-0.3489,1787644800000
471,1787616980291,GRVTUSDT,-0.2408,1787630400000
472,1787616982933,HOMEUSDT,-0.5314,1787630400000
473,1787616996598,MAUSDT,-0.1242,1787644800000
474,1787617535549,ACEUSDT,-0.6661,1787630400000
475,1787617536541,ACXUSDT,-0.3273,1787630400000
476,1787617537874,AGIUSDT,-1.0602,1787644800000
477,1787617542350,APPSTOCKUSDT,0.2185,1787644800000
478,1787617551435,BICOUSDT,-0.3746,1787644800000
479,1787617553914,BNCUSDT,-0.5118,1787644800000
480,1787617555729,BSPUSDT,0.3052,1787644800000
481,1787617557713,CASHCATUSDT,0.4473,1787630400000
482,1787617563152,CROSSUSDT,-0.1867,1787630400000
483,1787617564374,CSOPSKHYNIX2LUSDT,-0.335,1787644800000
484,1787617565371,CXMTUSDT,-0.2719,1787644800000
485,1787617576108,FWDIUSDT,0.1566,1787644800000
486,1787617579762,GRVTUSDT,-0.9217,1787630400000
487,1787617582414,HOMEUSDT,-0.5641,1787630400000
488,1787617595874,MARAUSDT,0.1669,1787644800000
489,1787617596221,MAUSDT,-0.2641,1787644800000
490,1787618135498,ACEUSDT,-0.6298,1787630400000
491,1787618136209,ACXUSDT,-0.1456,1787630400000
492,1787618137849,AGIUSDT,-1.1676,1787644800000
493,1787618142606,APPSTOCKUSDT,0.2335,1787644800000
494,1787618148381,B3USDT,-0.3657,1787630400000
495,1787618151674,BICOUSDT,-0.3551,1787644800000
